Journals_Data_Title,journal_autofix_title,Journals_Data_ISSN,Journals_Data_INVBR,Journals_Data_Location,Journals_Data_Journal_Ext_Info,Source_Line,CLEAN_ISSN,CLEAN_TITLE,CLEAN_TITLE_ext,CLEAN_PUBLISHER
IEEE Instrumentation & Measurement Magazine ,IEEE Instrumentation & Measurement Magazine,,P-1141,Arhiv 1. krilo,8 (2005),IEEE Instrumentation & Measurement Magazine |inv. br. P-1141||8 (2005)							**** Arhiv 1. krilo,,,,
"IEEE Journal of Quantum Electronics, (1965) New York",IEEE Journal of Quantum Electronics,0018-9197,P-392/QE,Arhiv 1. krilo,"QE-1 (1965) – QE-18 (1982) No. 1-6,...,10, 11|QE-19 (1983) No. …,5-8,|QE-20 (1984) – 26 (1990) |QE-27 (1991) No. 1,…,3-12|QE-28 (1992) No. 1-7,|QE 29 (1993) – QE 31 (1995) No. 1-6,…, 8-12 		|QE 32 (1996) – 38 (2002) No. 1-3,","IEEE Journal of Quantum Electronics, (1965) New York|ISSN 0018-9197|inv. br. P-392/QE||QE-1 (1965) – QE-18 (1982) No. 1-6,...,10, 11|QE-19 (1983) No. …,5-8,|QE-20 (1984) – 26 (1990) |QE-27 (1991) No. 1,…,3-12|QE-28 (1992) No. 1-7,|QE 29 (1993) – QE 31 (1995) No. 1-6,…, 8-12 		****Arhiv 1. krilo|QE 32 (1996) – 38 (2002) No. 1-3,",0018-9197,IEEE journal of quantum electronics,,Institute of Electrical and Electronics Engineers
"IEEE Microwave and Guidedwavel Letters, (1991) New York",IEEE Microwave and Guidedwavel Letters,1051-3207,P-1142,Arhiv 1. krilo,"5 (1995) No. 7,…,10						|6 (1996) No. ...,10-12						|7 (1997) No. 1-3,…, 5-12|8 (1998) – 9 (1999) No. 1-4,","IEEE Microwave and Guidedwavel Letters, (1991) New York|ISSN 1051-3207|inv. br. P-1142||5 (1995) No. 7,…,10						****Arhiv 1. krilo|6 (1996) No. ...,10-12						|7 (1997) No. 1-3,…, 5-12|8 (1998) – 9 (1999) No. 1-4,",,,,
"IEEE Transactions on Acoustics, Speech and Signal Processing",IEEE Transactions on Acoustics,,P-679,Arhiv 1. krilo,ISSN |ASSP-33 (1985) – ASSP-38 (1990) 				|*od vol. 39 (1991) izlazi kao: IEEE Trnsactions on signall processing,"IEEE Transactions on Acoustics, Speech and Signal Processing|ISSN |inv. br. P-679||ASSP-33 (1985) – ASSP-38 (1990) 				****Arhiv 1. krilo||*od vol. 39 (1991) izlazi kao: IEEE Trnsactions on signall processing",,,,
"IEEE Transactions on Applications and Industry, (1952) New York",IEEE Transactions on Applications and Industry,0536-1524,P-264/B/1,Arhiv 1. krilo,"*do 1963. izlazi kao: AIEE Transactions, Part II|(1963) – (1964) 						|* od 1965. izlazi kao: IEEE Transactions on Industry and General Appl.","IEEE Transactions on Applications and Industry, (1952) New York|ISSN 0536-1524|inv. br. P-264/B/1||*do 1963. izlazi kao: AIEE Transactions, Part II||(1963) – (1964) 						****Arhiv 1. krilo||* od 1965. izlazi kao: IEEE Transactions on Industry and General Appl.",,,,
"IEEE Transactions on Circuit Theory, (1952) New York",IEEE Transactions on Circuit Theory,0018-9324,P-248/CT,Arhiv 1. krilo,"CT-6 (1959) No. ...,2-4|CT-7 (1960) – CT-10 (1973) 					|* od vol. 11 (1974) izlazi kao: IEEE Transactions on Circuits and Systems","IEEE Transactions on Circuit Theory, (1952) New York|ISSN 0018-9324|inv. br. P-248/CT||CT-6 (1959) No. ...,2-4|CT-7 (1960) – CT-10 (1973) 					****Arhiv 1. krilo||* od vol. 11 (1974) izlazi kao: IEEE Transactions on Circuits and Systems",,,,
"IEEE Transactions on Circuits and Systems, (1952) New York",IEEE Transactions on Circuits and Systems,0098-4094,P-248/CT/1,Arhiv 1. krilo,"* do vol. 10 (1973) izlazi kao: IEEE Transactions on Circuit Theory|CAS-11 (1974) – CAS-24 (1977) No. 1-6,..., 8-12|CAS-25 (1978) – CAS-27 (1980) No. ...,2-12|CAS-28 (1981) – CAS-31 (1984) No. 1-6,","IEEE Transactions on Circuits and Systems, (1952) New York|ISSN 0098-4094|inv. br. P-248/CT/1||* do vol. 10 (1973) izlazi kao: IEEE Transactions on Circuit Theory||CAS-11 (1974) – CAS-24 (1977) No. 1-6,..., 8-12|CAS-25 (1978) – CAS-27 (1980) No. ...,2-12|CAS-28 (1981) – CAS-31 (1984) No. 1-6,			****Arhiv 1. krilo",,,,
"IEEE Transactions on Circuits and Systems Part 1: Fundamental Theory and Applications, (1952) New York",IEEE Transactions on Circuits and Systems Part 1: Fundamental Theory and Applications,1057-7122,P-1143,1. krilo,"48 (2001) No. …,12|49 (2002) – 50 (2003) No. 1-7,…,11,|51 (2004) – 53 (2006) No. 1-3,","IEEE Transactions on Circuits and Systems Part 1: Fundamental Theory and Applications, (1952) New York|ISSN 1057-7122|inv. br. P-1143||48 (2001) No. …,12|49 (2002) – 50 (2003) No. 1-7,…,11,|51 (2004) – 53 (2006) No. 1-3,				****1. krilo",,,,
"IEEE Transactions on Circuits and Systems Part 2: Analog and Digital Signal, (1952) New York",IEEE Transactions on Circuits and Systems Part 2: Analog and Digital Signal,1057-7130,P-1144,1. krilo,"48 (2001) No. …,12|49 (2002) – 50 (2003) No. 1-7,|51 (2004) – 53 (2006) No. 1-2,","IEEE Transactions on Circuits and Systems Part 2: Analog and Digital Signal, (1952) New York|ISSN 1057-7130|inv. br. P-1144||48 (2001) No. …,12|49 (2002) – 50 (2003) No. 1-7,|51 (2004) – 53 (2006) No. 1-2,				****1. krilo",,,,
"IEEE Transactions on Communications, (1952) New York",IEEE Transactions on Communications,0090-6778,P-264/A/3,Arhiv 1. krilo,"* do vol. 27 (1979) izlazi kao: IEEE Transactions on Communication Technology|COM-26 (1978) No. …,4,|COM-27 (1979) – COM-30 (1982)|COM-32 (1984) – COM-41 (1993) No.1-9,...,11-12|COM 42 (1994) – COM 43 (1995)				|COM 44(1996) – COM 47 (1999) No. 1-3,...,5-12		|COM 48 (2000)","IEEE Transactions on Communications, (1952) New York|ISSN 0090-6778|inv. br. P-264/A/3||* do vol. 27 (1979) izlazi kao: IEEE Transactions on Communication Technology||COM-26 (1978) No. …,4,|COM-27 (1979) – COM-30 (1982)|COM-32 (1984) – COM-41 (1993) No.1-9,...,11-12|COM 42 (1994) – COM 43 (1995)				****Arhiv 1. krilo|COM 44(1996) – COM 47 (1999) No. 1-3,...,5-12		|COM 48 (2000)",0090-6778,IEEE transactions on communications,,Institute of Electrical and Electronics Engineers
"IEEE Transactions on Communication and Electronics, (1952) New York",IEEE Transactions on Communication and Electronics,0536-1532,P-264/A/1,Arhiv 1. krilo,"*do 1963. izlazi kao: AIEE Transactions, Part I|(1963) – (1964) 						|* od 1965. izlazi kao: IEEE Transactions on Communication Technology","IEEE Transactions on Communication and Electronics, (1952) New York|ISSN 0536-1532|inv. br. P-264/A/1||*do 1963. izlazi kao: AIEE Transactions, Part I||(1963) – (1964) 						****Arhiv 1. krilo||* od 1965. izlazi kao: IEEE Transactions on Communication Technology",,,,
"IEEE Transactions on Communication Technology, (1952) New York",IEEE Transactions on Communication Technology,0018-9332,P-264/A/2,Arhiv 1. krilo,"* do 1965. izlazi kao: IEEE Transactions on Communication and Electronics|COM-13 (1965) No. …,2-4|COM-14 (1966) – COM-27 (1979) 				|* od vol. 28 (1980) izlazi kao: IEEE Transactions on Communications","IEEE Transactions on Communication Technology, (1952) New York|ISSN 0018-9332|inv. br. P-264/A/2||* do 1965. izlazi kao: IEEE Transactions on Communication and Electronics||COM-13 (1965) No. …,2-4|COM-14 (1966) – COM-27 (1979) 				****Arhiv 1. krilo||* od vol. 28 (1980) izlazi kao: IEEE Transactions on Communications",,,,
"IEEE Transactions on Components, Hybrids and Manufac. Technology, New York",IEEE Transactions on Components,0148-6411,P-248/CHMT,Arhiv 1. krilo,"* do 1977. izlazi kao: IEEE Transactions on Parts, Hybrids and Packaging|CHMT-1 (1978) – CHMT-5 (1982) No. 1,|CHMT-7 (1984) No. 1-4,|CHMT 8 (1985) – CHMT 13 (1990) |CHMT-14 (1991) – CHMT-15 (1992) No. 1,…,6|CHMT-16 (1993) No. 1-8					|*od vol. 17 (1994) izlazi kao: IEEE Trans. on Components, Packaging and Manufacturing Technology; sekcije A i B","IEEE Transactions on Components, Hybrids and Manufac. Technology, New York|ISSN 0148-6411|inv. br. P-248/CHMT||* do 1977. izlazi kao: IEEE Transactions on Parts, Hybrids and Packaging||CHMT-1 (1978) – CHMT-5 (1982) No. 1,|CHMT-7 (1984) No. 1-4,|CHMT 8 (1985) – CHMT 13 (1990) |CHMT-14 (1991) – CHMT-15 (1992) No. 1,…,6|CHMT-16 (1993) No. 1-8					****Arhiv 1. krilo||*od vol. 17 (1994) izlazi kao: IEEE Trans. on Components, Packaging and Manufacturing Technology; sekcije A i B",,,,
"IEEE Trans. on Components, Packaging and Manufacturing Technology, Part A, (1994) New York",IEEE Trans. on Components,1070-9886,P-1145,Arhiv 1. krilo,"*do vol. 16 (1993) izlazi kao: IEEE Trans. on Components, Hybrids and Manufacturing Technology.|CPMT-17 A (1994) No. 1,…,3-4|CPMT-18A (1995)No.1, 					|CPMT-19A (1996)","IEEE Trans. on Components, Packaging and Manufacturing Technology, Part A, (1994) New York|ISSN 1070-9886|inv. br. P-1145||*do vol. 16 (1993) izlazi kao: IEEE Trans. on Components, Hybrids and Manufacturing Technology.||CPMT-17 A (1994) No. 1,…,3-4|CPMT-18A (1995)No.1, 					****Arhiv 1. krilo|CPMT-19A (1996)",1070-9886,"IEEE transactions on components, packaging, and manufacturing technology A",,Institution of Electrical Engineers
"IEEE Trans. on Components, Packaging and Manufacturing Technology, Part B, (1994) New York",IEEE Trans. on Components,1070-9894,P-1146,Arhiv 1. krilo,"*do vol. 16 (1993) izlazi kao: IEEE Trans. on Components, Hybrids and Manufacturing Technology.|CPMT-17 B (1994) – CPMT-18B (1995) No.1-2,		|CPMT-19B (1996)","IEEE Trans. on Components, Packaging and Manufacturing Technology, Part B, (1994) New York|ISSN 1070-9894|inv. br. P-1146||*do vol. 16 (1993) izlazi kao: IEEE Trans. on Components, Hybrids and Manufacturing Technology.||CPMT-17 B (1994) – CPMT-18B (1995) No.1-2,		****Arhiv 1. krilo|CPMT-19B (1996)",1070-9894,"IEEE transactions on components, packaging, and manufacturing technology B",,Institute of Electrical and Electronics Engineers
"IEEE Transactions on Component Parts, (1954) New York",IEEE Transactions on Component Parts,0097-6601,P-248/CP,Arhiv 1. krilo,"CP-3 (1956) No. 1,|CP-4 (1957) – CP-12 (1965) No. 1, 				|* od 1965. izlazi kao: IEEE Transactions on Parts, Materials and Packaging","IEEE Transactions on Component Parts, (1954) New York|ISSN 0097-6601|inv. br. P-248/CP||CP-3 (1956) No. 1,|CP-4 (1957) – CP-12 (1965) No. 1, 				****Arhiv 1. krilo||* od 1965. izlazi kao: IEEE Transactions on Parts, Materials and Packaging",,,,
"IEEE Transactions on Computers, (1952) New York",IEEE Transactions on Computers,0018-9340,P-248/EC/1,Arhiv 1. krilo,"* do vol. 16 (1967) izlazi kao: IEEE Transactions on Electronic Computers|C-17 (1968) – C-29 (1980) No. …,6-12|C-30 (1981) – C-31 (1982) No. 1-6,..., 9-12|C-32 (1983) – C-44 (1995)					|--------------------------------------------------------------------------|C-45 (1996) – C-49 (2000)","IEEE Transactions on Computers, (1952) New York|ISSN 0018-9340|inv. br. P-248/EC/1||* do vol. 16 (1967) izlazi kao: IEEE Transactions on Electronic Computers||C-17 (1968) – C-29 (1980) No. …,6-12|C-30 (1981) – C-31 (1982) No. 1-6,..., 9-12|C-32 (1983) – C-44 (1995)					****Arhiv 1. krilo|--------------------------------------------------------------------------|C-45 (1996) – C-49 (2000)					****1. krilo",0018-9340,IEEE transactions on computers,,Institute of Electrical and Electronics Engineers
"IEEE Transactions on Electron Devices, (1954) New York",IEEE Transactions on Electron Devices,0018-9383,P-248/ED,Arhiv 1. krilo,"ED-3 (1956) No.2|ED-4 (1957)|ED-5 (1958) No. 2-4|ED-6 (1959) - ED-26 (1979)|ED-27 (1980) No. 1-5,..., 7-12|ED-28 (1981)|ED-29 (1982) No. 1-5|ED-31 (1984) – ED-37(1990)|ED-38 (1991) – ED-39 (1992) No 1-6|ED 40 (1993) – ED-42(1995)					|ED-43 (1996) – ED-46 (1999) No. 1-7, 			|ED-47 (2000) – ED-49 (2002) No. 1-3,|ED-50 (2003) – ED-52 (2005) No. 1-2,","IEEE Transactions on Electron Devices, (1954) New York|ISSN 0018-9383|inv. br. P-248/ED||ED-3 (1956) No.2|ED-4 (1957)|ED-5 (1958) No. 2-4|ED-6 (1959) - ED-26 (1979)|ED-27 (1980) No. 1-5,..., 7-12|ED-28 (1981)|ED-29 (1982) No. 1-5|ED-31 (1984) – ED-37(1990)|ED-38 (1991) – ED-39 (1992) No 1-6|ED 40 (1993) – ED-42(1995)					****Arhiv 1. krilo|ED-43 (1996) – ED-46 (1999) No. 1-7, 			|ED-47 (2000) – ED-49 (2002) No. 1-3,|ED-50 (2003) – ED-52 (2005) No. 1-2,",0018-9383,IEEE transactions on electron devices,,Institute of Electrical and Electronics Engineers
"IEEE Transactions on Electronic Computers, (1952) New York",IEEE Transactions on Electronic Computers,0367-7508,P-248/EC,Arhiv 1. krilo,"EC-5 (1956) No. 1-3,|EC-6 (1957) – EC-16 (1967) 					|* od vol. 17 (1968) izlazi kao:IEEE Transactions on Computers","IEEE Transactions on Electronic Computers, (1952) New York|ISSN 0367-7508|inv. br. P-248/EC||EC-5 (1956) No. 1-3,|EC-6 (1957) – EC-16 (1967) 					****Arhiv 1. krilo|* od vol. 17 (1968) izlazi kao:IEEE Transactions on Computers",,,,
"IEEE Transactions on Fuzzy Systems, (1993) New York",IEEE Transactions on Fuzzy Systems,1063-6706,P-1147,Arhiv 1. krilo,"9 (2001) No. …,6|10 (2002) – 11 (2003) No. 1-3,|12 (2004) – 14 (2006) No. 1,","IEEE Transactions on Fuzzy Systems, (1993) New York|ISSN 1063-6706|inv. br. P-1147||9 (2001) No. …,6|10 (2002) – 11 (2003) No. 1-3,|12 (2004) – 14 (2006) No. 1,					****Arhiv 1. krilo",,,,
"IEEE Transactions on Industrial Electronics, (1954) New York",IEEE Transactions on Industrial Electronics,0018-9421,P-248/IE,Arhiv 1. krilo,"(1958) PGIE …,5-7.|(1959) PGIE …,8-11,|IE-7 (1960) – IE-10 (1963) No. 1, 				|* od vol. 11 (1964) izlazi kao: IEEE Trans.on Industrial Electronics and Control Instr.|* od 1984. ponovno samostalno izlazi","IEEE Transactions on Industrial Electronics, (1954) New York|ISSN 0018-9421|inv. br. P-248/IE||(1958) PGIE …,5-7.|(1959) PGIE …,8-11,|IE-7 (1960) – IE-10 (1963) No. 1, 				****Arhiv 1. krilo||* od vol. 11 (1964) izlazi kao: IEEE Trans.on Industrial Electronics and Control Instr.|* od 1984. ponovno samostalno izlazi",,,,
"IEEE Transactions on Industrial Electronics and Control Instrumentation, New York",IEEE Transactions on Industrial Electronics and Control Instrumentation,0018-9421,P-248/IECI,Arhiv 1. krilo,"* do vol. 10 (1963) izlazi kao: IEEE Transactions on Industrial Electronics|IECI-11 (1964) – IECI-13 (1966) No. 1,|IECI-14 (1967) – IECI-29 (1982) No. 1,|IECI-31 (1984) No. 1-4,|IECI-32 (1985) – IECI-35 (1988) No. 1-4,|IECI-36 (1989) No. 1-4,|IECI-37 (1990) No. 1-6,|IECI-38 (1991) – IECI-39 (1992) No …,2, |IECI-40 (1993) – IECI-42 (1995)				|--------------------------------------------------------------------------|IECI43 (1996) – IECI-46 (1999) No. 1-3,…,5, 		|IECI-47 (2000) – IECI-49 (2002) No. 1,|IECI-50 (2003) – IECI-52 (2005) No. 1","IEEE Transactions on Industrial Electronics and Control Instrumentation, New York|ISSN 0018-9421|inv. br. P-248/IECI||* do vol. 10 (1963) izlazi kao: IEEE Transactions on Industrial Electronics||IECI-11 (1964) – IECI-13 (1966) No. 1,|IECI-14 (1967) – IECI-29 (1982) No. 1,|IECI-31 (1984) No. 1-4,|IECI-32 (1985) – IECI-35 (1988) No. 1-4,|IECI-36 (1989) No. 1-4,|IECI-37 (1990) No. 1-6,|IECI-38 (1991) – IECI-39 (1992) No …,2, |IECI-40 (1993) – IECI-42 (1995)				****Arhiv 1. krilo|--------------------------------------------------------------------------|IECI43 (1996) – IECI-46 (1999) No. 1-3,…,5, 		****1.krilo|IECI-47 (2000) – IECI-49 (2002) No. 1,|IECI-50 (2003) – IECI-52 (2005) No. 1",,,,
"IEEE Transactions on Industry and General Applications, (1965) New York",IEEE Transactions on Industry and General Applications,0018-943X,P-264/B/2,Arhiv 1. krilo,"* do 1964. izlazi kao: IEEE Transactions on Applications and Industry|IGA-1 (1965) – IGA-2 (1966) No. 1,..., 3-6|IGA-3 (1967) – IGA-4 (1968)","IEEE Transactions on Industry and General Applications, (1965) New York|ISSN 0018-943X|inv. br. P-264/B/2||* do 1964. izlazi kao: IEEE Transactions on Applications and Industry||IGA-1 (1965) – IGA-2 (1966) No. 1,..., 3-6|IGA-3 (1967) – IGA-4 (1968)				****Arhiv 1. krilo",,,,
"IEEE Transactions on Information Theory, (1955) New York",IEEE Transactions on Information Theory,0018-9448,P-248/IT,Arhiv 1. krilo,"IT-4 (1958) No.1,..., 4,|IT-5 (1959) – IT-6 (1960) No. …,4-5,|IT-7 (1961) No. …,4,|IT-8 (1962) – IT-9 (1963) No. …,2-4,|IT-10 (1964) No. …,4,|IT-11 (1965) – IT-28 (1982) No. 1-3,..., 5-6","IEEE Transactions on Information Theory, (1955) New York|ISSN 0018-9448|inv. br. P-248/IT||IT-4 (1958) No.1,..., 4,|IT-5 (1959) – IT-6 (1960) No. …,4-5,|IT-7 (1961) No. …,4,|IT-8 (1962) – IT-9 (1963) No. …,2-4,|IT-10 (1964) No. …,4,|IT-11 (1965) – IT-28 (1982) No. 1-3,..., 5-6			****Arhiv 1. krilo",,,,
"IEEE Transactions on Instrumentation and Measurement, (1952) New York",IEEE Transactions on Instrumentation and Measurement,0018-9456,P-248/IM,Arhiv 1. krilo,"* do vol. 11 (1962) izlazi kao: IRE Transactions on Instrumentation|IM-12 (1963) – IM-31 (1982) No. 1,...,3-4,|IM-33 (1984) No. 1-4,|IM-34 (1985) – IM-37 (1988) No. 1-4,|IM-38 (1989) – IM-41 (1992) No. 1-2, |IM-42 (1993) – IM-44 (1995)					|IM 46 (1996) – IM-46 (1997) No. 1-5, 			|IM-47 (1998) – IM-51 (2002) No. 1,|IM-52 (2003) – IM-54 (2005) No. 1,","IEEE Transactions on Instrumentation and Measurement, (1952) New York|ISSN 0018-9456|inv. br. P-248/IM||* do vol. 11 (1962) izlazi kao: IRE Transactions on Instrumentation||IM-12 (1963) – IM-31 (1982) No. 1,...,3-4,|IM-33 (1984) No. 1-4,|IM-34 (1985) – IM-37 (1988) No. 1-4,|IM-38 (1989) – IM-41 (1992) No. 1-2, |IM-42 (1993) – IM-44 (1995)					****Arhiv 1. krilo|IM 46 (1996) – IM-46 (1997) No. 1-5, 			|IM-47 (1998) – IM-51 (2002) No. 1,|IM-52 (2003) – IM-54 (2005) No. 1,",0018-9456,IEEE transactions on instrumentation and measurement,,Institute of Electrical and Electronics Engineers
"IEEE Transactions on Microwave Theory and Techniques, (1953) New York",IEEE Transactions on Microwave Theory and Techniques,0018-9480,P-247,Arhiv 1. krilo,"MTT-15 (1967) – MTT-30 (1982) No. 1-5,|MTT-32 (1984) – MTT-40 (1992) No. 1-5|MTT-41 (1993) No. …,6-12|MTT-42 (1994) – MTT 43 (1995)				|MTT 44 (1996) – MTT-50 (2002) No. 1-3, |MTT-51 (2003) – MTT-53 (2005) No. 1-3,","IEEE Transactions on Microwave Theory and Techniques, (1953) New York|ISSN 0018-9480|inv. br. P-247||MTT-15 (1967) – MTT-30 (1982) No. 1-5,|MTT-32 (1984) – MTT-40 (1992) No. 1-5|MTT-41 (1993) No. …,6-12|MTT-42 (1994) – MTT 43 (1995)				****Arhiv 1. krilo|MTT 44 (1996) – MTT-50 (2002) No. 1-3, |MTT-51 (2003) – MTT-53 (2005) No. 1-3,",0018-9480,IEEE transactions on microwave theory techniques,,Institute of Electrical and Electronics Engineers
"IEEE Transaction on Neural Networks, (1990) New York",IEEE Transaction on Neural Networks,1045-9227,P-1148,Arhiv 1. krilo,"13 (2002) – 14 (2003) No. 1-5,  						       15 (2004) – 17 (2006) No. 1,","IEEE Transaction on Neural Networks, (1990) New York|ISSN 1045-9227|inv. br. P-1148||13 (2002) – 14 (2003) No. 1-5,  						       15 (2004) – 17 (2006) No. 1,					****Arhiv 1. krilo",,,,
"IEEE Transactions on Nuclear Science, (1954) New York",IEEE Transactions on Nuclear Science,0018-9499,P-248/NS,Arhiv 1. krilo,"NS-4 (1957) No. 1-2,|NS-5 (1958) – NS-9 (1962) No. …,2-5,|NS-10 (1963) – NS-12 (1965) No. 1,…,4-6|NS-13 (1966) – NS-24 (1977) No. …,3-4,…,6|NS-25 (1978) – NS-27 (1980) No. …,2-6|NS-28 (1981) – NS-29 (1982)No. 1-5,|NS-31 (1984) – NS-36 (1989) No. 1-2,…,4-6|NS-37 (1990) – NS-39 (1992) No. 1.2|NS-40 (1993) – NS 42 (1995)					|NS 43 (1996) – NS-46 (1999) No. 1-5, 			|NS-47 (2000) – NS-48 (2001)|NS-50 (2003) – NS-52 (2005) No. 1,","IEEE Transactions on Nuclear Science, (1954) New York|ISSN 0018-9499|inv. br. P-248/NS||NS-4 (1957) No. 1-2,|NS-5 (1958) – NS-9 (1962) No. …,2-5,|NS-10 (1963) – NS-12 (1965) No. 1,…,4-6|NS-13 (1966) – NS-24 (1977) No. …,3-4,…,6|NS-25 (1978) – NS-27 (1980) No. …,2-6|NS-28 (1981) – NS-29 (1982)No. 1-5,|NS-31 (1984) – NS-36 (1989) No. 1-2,…,4-6|NS-37 (1990) – NS-39 (1992) No. 1.2|NS-40 (1993) – NS 42 (1995)					****Arhiv 1. krilo|NS 43 (1996) – NS-46 (1999) No. 1-5, 			|NS-47 (2000) – NS-48 (2001)|NS-50 (2003) – NS-52 (2005) No. 1,",0018-9499,IEEE transactions on nuclear science,,Institute of Electrical and Electronics Engineers
"IEEE Transactions on Parts, Hybrids and Packaging, (1965) New York",IEEE Transactions on Parts,0361-1000,P-248/PHP,Arhiv 1. krilo,"* do vol. 6 (1970) izlazi kao: IEEE Transactions on Parts, Materials and Packaging|PHP-7 (1971) – PHP-13 (1977) 				|* od 1978. izlazi kao: IEEE Transactions on Components, Hybrids and Manufac. Technology","IEEE Transactions on Parts, Hybrids and Packaging, (1965) New York|ISSN 0361-1000|inv. br. P-248/PHP||* do vol. 6 (1970) izlazi kao: IEEE Transactions on Parts, Materials and Packaging||PHP-7 (1971) – PHP-13 (1977) 				****Arhiv 1. krilo||* od 1978. izlazi kao: IEEE Transactions on Components, Hybrids and Manufac. Technology",,,,
"IEEE Transactions on Parts, Materials and Packaging, (1965) New York",IEEE Transactions on Parts,0018-9502,P-248/PMP,Arhiv 1. krilo,"* do 1965. izlazi kao: IEEE Transactions on Component Parts|PMP-1 (1965) – PMP-6 (1970) 				|* od vol. 7 (1771) izlazi kao: IEEE Transactions on Parts, Hybrids and Packaging","IEEE Transactions on Parts, Materials and Packaging, (1965) New York|ISSN 0018-9502|inv. br. P-248/PMP||* do 1965. izlazi kao: IEEE Transactions on Component Parts||PMP-1 (1965) – PMP-6 (1970) 				****Arhiv 1. krilo||* od vol. 7 (1771) izlazi kao: IEEE Transactions on Parts, Hybrids and Packaging",,,,
"IEEE Transactions on Power Apparatus and Systems, (1952) New York",IEEE Transactions on Power Apparatus and Systems,0018-9510,P-264/C/1,Arhiv 1. krilo,"*do 1963. izlazi kao: AIEE Transactions, Part III|(1964) – (1965)|PAS-83 (1964) – PAS-84 (1965) No. 1-10,..., 12|PAS-85 (1966) – PAS-87 (1968)","IEEE Transactions on Power Apparatus and Systems, (1952) New York|ISSN 0018-9510|inv. br. P-264/C/1||*do 1963. izlazi kao: AIEE Transactions, Part III||(1964) – (1965)|PAS-83 (1964) – PAS-84 (1965) No. 1-10,..., 12|PAS-85 (1966) – PAS-87 (1968)				****Arhiv 1. krilo",,,,
IEEE Transactions on Signal Processing New York,IEEE Transactions on Signal Processing New York,1053-587X,P-1149,Arhiv 1. krilo,"*do vol. 38 (1990) izlazi kao: IEEE Trans. on Acoustics, Speech and Signal Processing.|SP-39 (1991) – SP-43 (1995)					|SP-44 (1996) – SP-48 (2000) 				|49 (2002) 1,…,12|50 (2002) 1-12|51 (2003) 1-8","IEEE Transactions on Signal Processing New York|ISSN 1053-587X|inv. br. P-1149||*do vol. 38 (1990) izlazi kao: IEEE Trans. on Acoustics, Speech and Signal Processing.||SP-39 (1991) – SP-43 (1995)					****Arhiv 1. krilo|SP-44 (1996) – SP-48 (2000) 				|49 (2002) 1,…,12|50 (2002) 1-12|51 (2003) 1-8",1053-587X,IEEE transactions on signal processing,,Institute of Electrical and Electronics Engineers
"IEEE Transactions on Software Engineering, (1975) New York",IEEE Transactions on Software Engineering,0098-5589,P-546,Arhiv 1. krilo,"SE-2 (1976) – SE-7 (1981) No. 1-2,…4-6|SE-8 (1982) No. 1-3,|SE-9 (1983) No. …,3-6|SE-10 (1984) – SE-15 (1989) No. 1-5,…,7-12|SE-16 (1990) – SE-21 (1995)					|SE-22 (1996) – SE-25 (1999) No. 1-6,			|SE-26 (2000) – SE (2001) No.1","IEEE Transactions on Software Engineering, (1975) New York|ISSN 0098-5589|inv. br. P-546||SE-2 (1976) – SE-7 (1981) No. 1-2,…4-6|SE-8 (1982) No. 1-3,|SE-9 (1983) No. …,3-6|SE-10 (1984) – SE-15 (1989) No. 1-5,…,7-12|SE-16 (1990) – SE-21 (1995)					****Arhiv 1. krilo|SE-22 (1996) – SE-25 (1999) No. 1-6,			|SE-26 (2000) – SE (2001) No.1",0098-5589,IEEE transactions on software engineering,,Institute of Electrical and Electronics Engineers
"IEEE Transactions on Systems, Man and Cybernetics, (1971) New York",IEEE Transactions on Systems,0018-9472,P-433/1,Arhiv 1. krilo,"* do 1970. izlazi kao: IEEE Transactions on Systems, Science and Cybernetics|SMC-1 (1971) – SMC-12 (1982) No. 1-2,|SMC-14 (1984) – SMC-18 (1988) No. …,4,|SMC-19 (1989) No. 1-3,…,6|SMC-20 (1990) No. 1,…,4,…,6 |SMC-21 (1991) |SMC-23 (1993) – SMC-25 (1995) 				|*od vol. 25 (1996) izlazi u sekcijama :  Part A: Systems and Humans i | Part B: Cybernetics","IEEE Transactions on Systems, Man and Cybernetics, (1971) New York|ISSN 0018-9472|inv. br. P-433/1||* do 1970. izlazi kao: IEEE Transactions on Systems, Science and Cybernetics||SMC-1 (1971) – SMC-12 (1982) No. 1-2,|SMC-14 (1984) – SMC-18 (1988) No. …,4,|SMC-19 (1989) No. 1-3,…,6|SMC-20 (1990) No. 1,…,4,…,6 |SMC-21 (1991) |SMC-23 (1993) – SMC-25 (1995) 				****Arhiv 1. krilo||*od vol. 25 (1996) izlazi u sekcijama :  Part A: Systems and Humans i | Part B: Cybernetics",0018-9472,"IEEE transactions on systems, man, and cybernetics",,Institute of Electrical and Electronics Engineers
"IEEE Transactions on Systems, Man and Cybernetics: Part A, New York",IEEE Transactions on Systems,1083-4427,P-1150,Arhiv 1. krilo,"*do vol. 25 (1995) izlazi kao: IEEE Transactions on Systems, Man and Cybernetics|26A (1996) – 31A (2002)|33A (2003) – 35A (2005) No. 1-2,","IEEE Transactions on Systems, Man and Cybernetics: Part A, New York|ISSN 1083-4427|inv. br. P-1150||*do vol. 25 (1995) izlazi kao: IEEE Transactions on Systems, Man and Cybernetics||26A (1996) – 31A (2002)|33A (2003) – 35A (2005) No. 1-2, 				****Arhiv 1. krilo",,,,
